baseline_method,method,seed,baseline_success,method_success,success_delta,baseline_selected_worst_error,method_selected_worst_error,selected_worst_error_diff
surrogate_qubo_sa,qaoa_optimized_p1,113,True,True,0,0.09407452909228246,0.08814672066722083,-0.005927808425061631
surrogate_qubo_sa,qaoa_optimized_p1,127,True,True,0,0.09256463069979118,0.09407452909228246,0.001509898392491285
surrogate_qubo_sa,qaoa_optimized_p1,131,True,True,0,0.09407452909228246,0.08814672066722083,-0.005927808425061631
surrogate_qubo_sa,qaoa_optimized_p1,137,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p1,139,True,True,0,0.09256463069979118,0.08521430985476047,-0.007350320845030706
surrogate_qubo_sa,qaoa_optimized_p1,149,True,False,-1,0.08918526287155164,0.11715540916326056,0.027970146291708922
surrogate_qubo_sa,qaoa_optimized_p1,151,True,True,0,0.0876302659683052,0.08918526287155164,0.001554996903246439
surrogate_qubo_sa,qaoa_optimized_p1,157,True,False,-1,0.09407452909228246,0.12047277532478883,0.02639824623250636
surrogate_qubo_sa,qaoa_optimized_p1,163,True,True,0,0.09407452909228246,0.0832614239111052,-0.010813105181177257
surrogate_qubo_sa,qaoa_optimized_p1,167,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p1,173,False,False,0,0.12047277532478883,0.11715540916326056,-0.003317366161528265
surrogate_qubo_sa,qaoa_optimized_p1,179,True,True,0,0.09407452909228246,0.08814672066722083,-0.005927808425061631
surrogate_qubo_sa,qaoa_optimized_p1,181,True,False,-1,0.09256463069979118,0.1225837878904666,0.030019157190675425
surrogate_qubo_sa,qaoa_optimized_p1,191,True,True,0,0.09407452909228246,0.0832614239111052,-0.010813105181177257
surrogate_qubo_sa,qaoa_optimized_p1,193,True,True,0,0.09256463069979118,0.08918526287155164,-0.0033793678282395406
surrogate_qubo_sa,qaoa_optimized_p1,197,True,False,-1,0.09256463069979118,0.12203281476453463,0.029468184064743455
surrogate_qubo_sa,qaoa_optimized_p1,199,True,True,0,0.09256463069979118,0.0832614239111052,-0.009303206788685972
surrogate_qubo_sa,qaoa_optimized_p1,211,True,True,0,0.09220729072812293,0.09256463069979118,0.00035733997166824405
surrogate_qubo_sa,qaoa_optimized_p2,11,True,True,0,0.08918526287155164,0.09407452909228246,0.004889266220730826
surrogate_qubo_sa,qaoa_optimized_p2,23,True,True,0,0.09407452909228246,0.08918526287155164,-0.004889266220730826
surrogate_qubo_sa,qaoa_optimized_p2,37,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p2,41,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p2,53,True,True,0,0.09256463069979118,0.09407452909228246,0.001509898392491285
surrogate_qubo_sa,qaoa_optimized_p2,67,True,False,-1,0.09407452909228246,0.11684143002170158,0.022766900929419118
surrogate_qubo_sa,qaoa_optimized_p2,79,True,True,0,0.0876302659683052,0.09407452909228246,0.006444263123977265
surrogate_qubo_sa,qaoa_optimized_p2,83,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p2,97,True,True,0,0.09220729072812293,0.09407452909228246,0.0018672383641595292
surrogate_qubo_sa,qaoa_optimized_p2,101,True,True,0,0.08918526287155164,0.09407452909228246,0.004889266220730826
surrogate_qubo_sa,qaoa_optimized_p2,107,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p2,109,False,True,1,0.12203281476453463,0.09256463069979118,-0.029468184064743455
surrogate_qubo_sa,qaoa_optimized_p2,113,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p2,127,True,True,0,0.09256463069979118,0.09256463069979118,0.0
surrogate_qubo_sa,qaoa_optimized_p2,131,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p2,137,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p2,139,True,True,0,0.09256463069979118,0.09220729072812293,-0.00035733997166824405
surrogate_qubo_sa,qaoa_optimized_p2,149,True,True,0,0.08918526287155164,0.09407452909228246,0.004889266220730826
surrogate_qubo_sa,qaoa_optimized_p2,151,True,True,0,0.0876302659683052,0.0876302659683052,0.0
surrogate_qubo_sa,qaoa_optimized_p2,157,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p2,163,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p2,167,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p2,173,False,True,1,0.12047277532478883,0.09256463069979118,-0.027908144624997647
surrogate_qubo_sa,qaoa_optimized_p2,179,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p2,181,True,True,0,0.09256463069979118,0.09407452909228246,0.001509898392491285
surrogate_qubo_sa,qaoa_optimized_p2,191,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p2,193,True,True,0,0.09256463069979118,0.09220729072812293,-0.00035733997166824405
surrogate_qubo_sa,qaoa_optimized_p2,197,True,True,0,0.09256463069979118,0.08814672066722083,-0.004417910032570346
surrogate_qubo_sa,qaoa_optimized_p2,199,True,True,0,0.09256463069979118,0.09407452909228246,0.001509898392491285
surrogate_qubo_sa,qaoa_optimized_p2,211,True,True,0,0.09220729072812293,0.09256463069979118,0.00035733997166824405
qaoa_random_p1,qaoa_optimized_p1,11,False,True,1,0.12593070342942508,0.09407452909228246,-0.03185617433714262
qaoa_random_p1,qaoa_optimized_p1,23,False,True,1,0.12792099166140974,0.09407452909228246,-0.03384646256912728
qaoa_random_p1,qaoa_optimized_p1,37,False,True,1,0.1169007674328321,0.09220729072812293,-0.024693476704709172
qaoa_random_p1,qaoa_optimized_p1,41,True,False,-1,0.08918526287155164,0.12007636130685716,0.03089109843530552
qaoa_random_p1,qaoa_optimized_p1,53,False,False,0,0.12792099166140974,0.12593070342942508,-0.0019902882319846604
qaoa_random_p1,qaoa_optimized_p1,67,True,True,0,0.08814672066722083,0.0876302659683052,-0.0005164546989156332
qaoa_random_p1,qaoa_optimized_p1,79,False,True,1,0.12377380024429846,0.09256463069979118,-0.03120916954450728
qaoa_random_p1,qaoa_optimized_p1,83,True,True,0,0.09256463069979118,0.09407452909228246,0.001509898392491285
qaoa_random_p1,qaoa_optimized_p1,97,False,False,0,0.12593070342942508,0.12203281476453463,-0.0038978886648904504
qaoa_random_p1,qaoa_optimized_p1,101,False,False,0,0.11684143002170158,0.12593070342942508,0.009089273407723503
qaoa_random_p1,qaoa_optimized_p1,107,True,True,0,0.08918526287155164,0.09256463069979118,0.0033793678282395406
qaoa_random_p1,qaoa_optimized_p1,109,True,True,0,0.09407452909228246,0.08466236152415695,-0.009412167568125518
qaoa_random_p1,qaoa_optimized_p1,113,True,True,0,0.09220729072812293,0.08814672066722083,-0.004060570060902102
qaoa_random_p1,qaoa_optimized_p1,127,True,True,0,0.08466236152415695,0.09407452909228246,0.009412167568125518
qaoa_random_p1,qaoa_optimized_p1,131,True,True,0,0.09407452909228246,0.08814672066722083,-0.005927808425061631
qaoa_random_p1,qaoa_optimized_p1,137,True,True,0,0.0876302659683052,0.09407452909228246,0.006444263123977265
qaoa_random_p1,qaoa_optimized_p1,139,False,True,1,0.1225837878904666,0.08521430985476047,-0.03736947803570613
qaoa_random_p1,qaoa_optimized_p1,149,True,False,-1,0.08814672066722083,0.11715540916326056,0.029008688496039728
qaoa_random_p1,qaoa_optimized_p1,151,True,True,0,0.08814672066722083,0.08918526287155164,0.0010385422043308057
