method,analysis_stage,oracle,iterations,initial_state,states_in_support,feasible_support_probability,expected_selected_worst_error,initial_expected_selected_worst_error,expected_nominal_error,probability_best_state,initial_probability_best_state,probability_good_set,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_schedule,best_selected_worst_error,top3_schedules,predeclared_protocol_name,predeclared_good_rule,predeclared_iteration_rule,predeclared_iteration_cap,initial_good_probability_predeclared,predicted_good_probability_predeclared
grover_warm_thresholdle0p0846623615242_r10,exploratory_sweep,threshold<=0.0846623615242,10,inverse,12,1.0,0.08372664919234149,0.0842841487476258,0.059385124345145576,0.5670858575455796,0.47742489298267526,0.9546218834756938,0.7004316000146391,111111111110,0.5670858575455796,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.567; 111111011111:0.192; 111111111101:0.120,,,,,,
grover_warm_thresholdle0p0836849565092_r12,exploratory_sweep,threshold<=0.0836849565092,12,inverse,12,1.0,0.08377258657084657,0.0842841487476258,0.05944335788967482,0.6282290420868919,0.47742489298267526,0.840581744971054,0.6982751796958975,111111111110,0.6282290420868919,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.628; 111111011111:0.212; 111111111101:0.045,,,,,,
grover_warm_top_2_r12,exploratory_sweep,top_2,12,inverse,12,1.0,0.08377258657084657,0.0842841487476258,0.05944335788967482,0.6282290420868919,0.47742489298267526,0.840581744971054,0.6982751796958975,111111111110,0.6282290420868919,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.628; 111111011111:0.212; 111111111101:0.045,,,,,,
grover_warm_thresholdle0p0832614239111_r5,exploratory_sweep,threshold<=0.0832614239111,5,inverse,12,1.0,0.08377356073589202,0.0842841487476258,0.05932891495097366,0.7383167529880439,0.47742489298267526,0.7383167529880439,0.8177893448544227,111111111110,0.7383167529880439,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.738; 111111011111:0.081; 111111111101:0.051,,,,,,
grover_warm_top_1_r5,exploratory_sweep,top_1,5,inverse,12,1.0,0.08377356073589202,0.0842841487476258,0.05932891495097366,0.7383167529880439,0.47742489298267526,0.7383167529880439,0.8177893448544227,111111111110,0.7383167529880439,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.738; 111111011111:0.081; 111111111101:0.051,,,,,,
grover_warm_top_3_r8,exploratory_sweep,top_3,8,inverse,12,1.0,0.08378637394983557,0.0842841487476258,0.05944458666017989,0.5792951160759545,0.47742489298267526,0.8977077428873799,0.7245687979767694,111111111110,0.5792951160759545,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.579; 111111011111:0.196; 111111111101:0.123,,,,,,
grover_warm_top_5_r8,exploratory_sweep,top_5,8,inverse,12,1.0,0.083832154680826,0.0842841487476258,0.05947512138007025,0.5317288060259857,0.47742489298267526,0.9593252748730765,0.7084852697943249,111111111110,0.5317288060259857,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.532; 111111011111:0.180; 111111111101:0.113,,,,,,
grover_warm_thresholdle0p0836849565092_r4,exploratory_sweep,threshold<=0.0836849565092,4,inverse,12,1.0,0.08390999107117206,0.0842841487476258,0.05955956008522431,0.5877233720134439,0.47742489298267526,0.7863844306946293,0.6815830467431239,111111111110,0.5877233720134439,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.588; 111111011111:0.199; 111111111101:0.060,,,,,,
grover_warm_top_2_r4,exploratory_sweep,top_2,4,inverse,12,1.0,0.08390999107117206,0.0842841487476258,0.05955956008522431,0.5877233720134439,0.47742489298267526,0.7863844306946293,0.6815830467431239,111111111110,0.5877233720134439,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.588; 111111011111:0.199; 111111111101:0.060,,,,,,
grover_warm_thresholdle0p0846623615242_r6,exploratory_sweep,threshold<=0.0846623615242,6,inverse,12,1.0,0.08391556247738859,0.0842841487476258,0.05955145584301371,0.5367035062135994,0.47742489298267526,0.9034767930682432,0.678642386791854,111111111110,0.5367035062135994,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.537; 111111011111:0.181; 111111111101:0.114,,,,,,
grover_uniform_thresholdle0p0836849565092_r1,exploratory_sweep,threshold<=0.0836849565092,1,uniform,12,1.0,0.08391630293552266,0.0874612047385159,0.05978766502417914,0.4537037037037036,0.08333333333333333,0.9074074074074072,0.47222222222222215,111111011111,0.4537037037037036,0.0836849565091918,111111111110,0.0832614239111052,111111011111:0.454; 111111111110:0.454; 011111111111:0.009,,,,,,
