evidence_tier,case_id,n_segments,active_windows,M,budget_label,budget,online_method,baseline_method,paired_seeds,online_successes,baseline_successes,paired_success_delta_mean,paired_success_delta_sum,best_cost_diff_mean_online_minus_baseline,best_cost_diff_mean_bootstrap95_lower,best_cost_diff_mean_bootstrap95_upper,best_cost_diff_median_online_minus_baseline,best_cost_diff_negative_favors_online,best_cost_online_wins,best_cost_online_losses,best_cost_ties,best_cost_sign_test_p_two_sided
feedback_screening,feedback_N20_k16,20,16,4845,sqrtM,70,online_threshold_amplitude_amplification,cross_entropy_baseline,200,27,3,0.12,24,-0.008967410231014699,-0.010512504364727688,-0.007528351450372771,-0.007571336003238616,True,170,29,1,1.8390609902119337e-25
feedback_screening,feedback_N20_k16,20,16,4845,sqrtM,70,online_threshold_amplitude_amplification,genetic_baseline,200,27,13,0.07,14,-0.0030690720652876307,-0.0042415248702744185,-0.0018902202512687343,-0.0036961214061952963,True,124,66,10,3.10794277038868e-05
feedback_screening,feedback_N20_k16,20,16,4845,2sqrtM,140,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,86,7,0.395,79,-0.012113718960418298,-0.013210081095353354,-0.011032050428536895,-0.012346213053051669,True,185,6,9,4.1009866034319145e-47
feedback_screening,feedback_N20_k16,20,16,4845,2sqrtM,140,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,86,40,0.23,46,-0.0042481294088926955,-0.0051596691604436145,-0.0033362621254761997,-0.004429826718397645,True,129,39,32,1.8901080346392734e-12
feedback_screening,feedback_N20_k16,20,16,4845,2sqrtM,140,online_threshold_amplitude_amplification,cross_entropy_baseline,200,86,29,0.285,57,-0.0053051548756430054,-0.006216906000643494,-0.004407146257405988,-0.005686739368181093,True,151,29,20,4.238116203205911e-21
feedback_screening,feedback_N20_k16,20,16,4845,2sqrtM,140,online_threshold_amplitude_amplification,genetic_baseline,200,86,95,-0.045,-9,8.935044959552996e-05,-0.0006583795146264463,0.0008505744739366859,0.0,True,70,70,60,1.0
feedback_screening,feedback_N20_k16,20,16,4845,4sqrtM,280,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,175,12,0.815,163,-0.01185788488625763,-0.012693457211099239,-0.011035962067305326,-0.011846666821756113,True,185,2,13,1.7923176131710322e-52
feedback_screening,feedback_N20_k16,20,16,4845,4sqrtM,280,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,175,66,0.545,109,-0.004647591152600808,-0.005336350061430077,-0.003968464313928047,-0.005754110790169742,True,130,11,59,5.754681923240256e-27
feedback_screening,feedback_N20_k16,20,16,4845,4sqrtM,280,online_threshold_amplitude_amplification,cross_entropy_baseline,200,175,120,0.275,55,-0.002113851687044367,-0.0027421931662348184,-0.0015024272660957832,0.0,True,79,20,101,1.7924150285414482e-09
feedback_screening,feedback_N20_k16,20,16,4845,4sqrtM,280,online_threshold_amplitude_amplification,genetic_baseline,200,175,187,-0.06,-12,0.00037602689576148816,1.542358676308979e-05,0.0007359820279550893,0.0,True,12,24,164,0.06524533522315323
feedback_screening,feedback_N20_k16,20,16,4845,M,4845,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,200,200,0.0,0,0.0,0.0,0.0,0.0,True,0,0,200,1.0
feedback_screening,feedback_N20_k16,20,16,4845,M,4845,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,200,200,0.0,0,0.0,0.0,0.0,0.0,True,0,0,200,1.0
feedback_screening,feedback_N20_k16,20,16,4845,M,4845,online_threshold_amplitude_amplification,cross_entropy_baseline,200,200,200,0.0,0,0.0,0.0,0.0,0.0,True,0,0,200,1.0
feedback_screening,feedback_N20_k16,20,16,4845,M,4845,online_threshold_amplitude_amplification,genetic_baseline,200,200,200,0.0,0,0.0,0.0,0.0,0.0,True,0,0,200,1.0
