schedule,feedback_objective,feedback_nominal_error,feedback_worst_error,feedback_robust_degradation,active_fraction,smoothness
1111011110011110,0.9254287445767077,0.44406522264354975,0.46590432932412634,0.021839106680576592,0.75,0.3333333333333333
1111011110100111,0.9286855875226405,0.4443748627261802,0.4662263566398997,0.02185149391371949,0.75,0.4
1111011110101011,0.9330943274555333,0.4438852004361369,0.46572332423281304,0.021838123796676157,0.75,0.5333333333333333
1111011110101101,0.9324317667253149,0.4435348049648464,0.4653626936841434,0.02182788871929703,0.75,0.5333333333333333
1111011110101110,0.9294011021192484,0.44334245612866086,0.4651645215676317,0.02182206543897086,0.75,0.4666666666666667
1111011110110011,0.9266112386034997,0.4432754378300551,0.46509806541426785,0.021822627584212773,0.75,0.4
1111011110110101,0.9312848052529356,0.44292649722777216,0.4647389629765034,0.021812465748731247,0.75,0.5333333333333333
1111011110110110,0.9282556717967362,0.4427349448992477,0.4645416285181485,0.021806683618900813,0.75,0.4666666666666667
1111011110111001,0.9250387250193077,0.4424430878913729,0.4642423824772786,0.021799294585905737,0.75,0.4
1111011110111010,0.9273443931921935,0.4422522977337048,0.4640458518181141,0.021793554084409306,0.75,0.4666666666666667
1111011110111100,0.9213593889688428,0.44190763693103413,0.4636911564403887,0.021783519509354587,0.75,0.3333333333333333
1111011111000111,0.9217951838889645,0.44354711588035267,0.46538022505438503,0.02183310917403236,0.75,0.26666666666666666
1111011111001011,0.9262079893660662,0.44305957651006006,0.46487941424038515,0.021819837730325087,0.75,0.4
1111011111001101,0.9255484124682689,0.44271073933321264,0.4645204141202309,0.02180967478701823,0.75,0.4
1111011111001110,0.9225193875629413,0.44251924625485073,0.464323138153518,0.02180389189866727,0.75,0.3333333333333333
1111011111010011,0.9250630791760763,0.442452334412892,0.4642568062073392,0.021804471794447222,0.75,0.4
1111011111010101,0.9297396149273643,0.4421049448683123,0.4638993260023504,0.021794381134038088,0.75,0.5333333333333333
1111011111010110,0.9267121131584405,0.44191424435750526,0.46370288323635456,0.021788638878849298,0.75,0.4666666666666667
1111011111011001,0.9234975211378529,0.4416236163964208,0.4634049241139025,0.021781307717481713,0.75,0.4
1111011111011010,0.92580481291717,0.44143367400975697,0.46320928067579475,0.021775606666037783,0.75,0.4666666666666667
1111011111011100,0.919822726447587,0.44109053709345913,0.4628561795872837,0.021765642493824566,0.75,0.3333333333333333
1111011111100011,0.9183824002144046,0.4417367860601665,0.4635244141576164,0.02178762809744994,0.75,0.26666666666666666
1111011111100101,0.9230617822828187,0.441390880983477,0.4631684898858958,0.02177760890241881,0.75,0.4
1111011111100110,0.9200358433356449,0.44120099488330955,0.4629729016463016,0.021771906762992066,0.75,0.3333333333333333
1111011111101001,0.9221568287301061,0.44091153475823375,0.46267617006350065,0.0217646353052669,0.75,0.4
1111011111101010,0.924465676093147,0.44072240323137996,0.4624813771231138,0.021758973891733868,0.75,0.4666666666666667
1111011111101100,0.9184863833976861,0.44038072279313484,0.4621298034338872,0.021749080640752372,0.75,0.3333333333333333
1111011111110001,0.9156963008852231,0.4403136244163694,0.46206321659370736,0.021749592177337962,0.75,0.26666666666666666
1111011111110010,0.9180066385311708,0.4401252681223082,0.46186923895914206,0.02174397083683388,0.75,0.3333333333333333
1111011111110100,0.9173633551467847,0.4397849795177893,0.46151912930746164,0.021734149789672363,0.75,0.3333333333333333
1111011111111000,0.9111380860095655,0.4393124947911365,0.4610339023953957,0.021721407604259224,0.75,0.2
1111100001111111,0.805958833636767,0.38466327512570114,0.40537644749776297,0.020713172372061828,0.75,0.13333333333333333
1111100010111111,0.8108936823102842,0.3837777536594432,0.40537644749776297,0.02159869383831975,0.75,0.26666666666666666
1111100011011111,0.8093978379605927,0.3829819895213501,0.4045637685780846,0.02158177905673453,0.75,0.26666666666666666
1111100011101111,0.8080986037719419,0.3822916932038722,0.40385762511680906,0.021565931912936875,0.75,0.26666666666666666
1111100011110111,0.8070083965514684,0.38171322303597943,0.4032648425132936,0.021551619477314155,0.75,0.26666666666666666
1111100011111011,0.8061437787358864,0.3812550923409342,0.4027945146541424,0.021539422313208212,0.75,0.26666666666666666
1111100011111101,0.8055271670862788,0.38092882163914665,0.40245895048714014,0.02153012884799349,0.75,0.26666666666666666
1111100011111110,0.8025224488228879,0.380750081098607,0.40227493737751063,0.02152485627890366,0.75,0.2
1111100100111111,0.8698498940426819,0.41684518708213525,0.4368592094207531,0.020014022338617876,0.75,0.26666666666666666
1111100101011111,0.8748126131547296,0.4160215999237226,0.4368592094207531,0.020837609497030507,0.75,0.4
1111100101101111,0.8734688851703785,0.4153056400242556,0.436129533685331,0.0208238936610754,0.75,0.4
1111100101110111,0.8723387488292011,0.41470414543566186,0.43551563098796664,0.020811485552304776,0.75,0.4
1111100101111011,0.8714402191828765,0.4142265137829992,0.4350273485575192,0.020800834774519994,0.75,0.4
1111100101111101,0.8707979080483932,0.4138855091628439,0.43467816351793814,0.020792654355094253,0.75,0.4
1111100101111110,0.867778907062747,0.4136985740816829,0.434486582423326,0.02078800834164307,0.75,0.3333333333333333
1111100110011111,0.8690663406392017,0.41510395729662364,0.4368592094207531,0.021755252124129487,0.75,0.26666666666666666
1111100110101111,0.8730572498940166,0.4143908949656741,0.436129533685331,0.021738638719656866,0.75,0.4
1111100110110111,0.8719282731152473,0.4137919771824312,0.43551563098796664,0.021723653805535426,0.75,0.4
1111100110111011,0.8710306968802379,0.4133164642215802,0.4350273485575192,0.021710884335938985,0.75,0.4
1111100110111101,0.8703890824266087,0.41297700778110064,0.43467816351793814,0.021701155736837507,0.75,0.4
1111100110111110,0.867370462233035,0.41279091890454545,0.434486582423326,0.02169566351878055,0.75,0.3333333333333333
1111100111001111,0.8661954475506265,0.41357809496133485,0.4352990272509708,0.021720932289635952,0.75,0.26666666666666666
1111100111010111,0.8704044896220493,0.4129816134729326,0.43468768825659254,0.021706074783659934,0.75,0.4
1111100111011011,0.8695107842260326,0.4125081212396476,0.434201521191565,0.021693399951917436,0.75,0.4
1111100111011101,0.8688720077878969,0.41217014755785,0.43385388670490305,0.02168373914705307,0.75,0.4
1111100111011110,0.8658549417905067,0.41198487055248206,0.43366315479182604,0.02167828423934398,0.75,0.3333333333333333
1111100111100111,0.863746410872014,0.4122778733336529,0.43396764371800245,0.02168977038434955,0.75,0.26666666666666666
1111100111101011,0.8681897304003314,0.41180630257722534,0.4334834958861285,0.021677193308903164,0.75,0.4
1111100111101101,0.8675536695185677,0.4114697445796044,0.4331373460412469,0.021667601461642483,0.75,0.4
1111100111101110,0.864538090487211,0.4112852425435575,0.4329474271494834,0.021662184605925894,0.75,0.3333333333333333
1111100111110011,0.8617467198986292,0.4112175349372041,0.43288011607872906,0.021662581141524972,0.75,0.26666666666666666
1111100111110101,0.8664465903214444,0.4108823276299611,0.4325353877771156,0.021653060147154513,0.75,0.4
1111100111110110,0.8634324323899766,0.41069856422839124,0.43234624653847664,0.021647682310085403,0.75,0.3333333333333333
1111100111111001,0.8602345905687198,0.4104167505038464,0.4320574186966587,0.021640668192812296,0.75,0.26666666666666666
1111100111111010,0.8625551227742706,0.4102336900504745,0.4318690206558742,0.021635330605399683,0.75,0.3333333333333333
1111100111111100,0.8565961071515917,0.4099026015826369,0.4315285260281465,0.021625924445509592,0.75,0.2
1111101000111111,0.8928713251774735,0.429246277157331,0.4493170241357199,0.020070746978388898,0.75,0.26666666666666666
1111101001011111,0.897827775987524,0.4284087604389247,0.4493170241357199,0.020908263696795215,0.75,0.4
1111101001101111,0.8964594483621569,0.4276798311073807,0.44857394597416816,0.02089411486678744,0.75,0.4
1111101001110111,0.8953073597439702,0.42706676923343606,0.4479480811349457,0.020881311901509658,0.75,0.4
1111101001111011,0.8943903178738124,0.4265793983885426,0.44744970614212015,0.020870307753577566,0.75,0.4
1111101001111101,0.8937339810934755,0.4262310327361507,0.4470928688301483,0.02086183609399761,0.75,0.4
1111101001111110,0.8907069403034172,0.42603989555979777,0.4468968956915535,0.020857000131755732,0.75,0.3333333333333333
1111101010011111,0.8974090873755138,0.4274783413011245,0.4493170241357199,0.02183868283459539,0.75,0.4
1111101010101111,0.9013754506575044,0.42675242880074576,0.44857394597416816,0.0218215171734224,0.75,0.5333333333333333
1111101010110111,0.9002245758307142,0.4261420642410155,0.4479480811349457,0.021806016893930247,0.75,0.5333333333333333
1111101010111011,0.8993085375191231,0.42565692352627016,0.44744970614212015,0.021792782615849993,0.75,0.5333333333333333
1111101010111101,0.8986529405767426,0.4253102019582257,0.4470928688301483,0.021782666871922596,0.75,0.5333333333333333
1111101010111110,0.8956263134119841,0.4251199839492052,0.4468968956915535,0.021776911742348304,0.75,0.4666666666666667
1111101011001111,0.8944875616105026,0.4259259742690107,0.4477291951353199,0.021803220866309203,0.75,0.4
1111101011010111,0.8986748831971493,0.4253181399567968,0.4471059906308982,0.021787850674101383,0.75,0.5333333333333333
1111101011011011,0.8977628664900367,0.4248350981584295,0.4466098135610071,0.021774715402577582,0.75,0.5333333333333333
1111101011011101,0.8971102269227905,0.424489920629888,0.4462545923614341,0.021764671731546115,0.75,0.5333333333333333
1111101011011110,0.8940852320440827,0.42430055430463653,0.4460595113859498,0.021758957081313257,0.75,0.4666666666666667
1111101011100111,0.8919927041713867,0.42460178317155994,0.4463727869601319,0.02177100378857194,0.75,0.4
1111101011101011,0.8964178508505724,0.42412073534277334,0.445878704723565,0.021757969380791664,0.75,0.5333333333333333
1111101011101101,0.8957680321650002,0.4237770276842779,0.44552502598124427,0.021747998296966387,0.75,0.5333333333333333
1111101011101110,0.8927445888922004,0.42358846906353653,0.44533079367638734,0.021742324612850805,0.75,0.4666666666666667
1111101011110011,0.8899534683642523,0.42352079650030844,0.44526364995650963,0.021742853456201194,0.75,0.4
1111101011110101,0.8946396809069107,0.4231784915691014,0.4449114474053441,0.021732955836242684,0.75,0.5333333333333333
1111101011110110,0.8916177179101764,0.4229907018564294,0.44471802529151183,0.021727323435082435,0.75,0.4666666666666667
1111101011111001,0.8884097665504733,0.42270357158803157,0.4444236852398994,0.021720113651867823,0.75,0.4
1111101011111010,0.89072255049214,0.4225165142471148,0.4442310374387654,0.021714523191650625,0.75,0.4666666666666667
1111101011111100,0.8847500356086945,0.4221784103211599,0.4438831554505995,0.021704745129439595,0.75,0.3333333333333333
1111101100011111,0.9294357170404511,0.44953691129491796,0.4689124573507652,0.019375546055847237,0.75,0.26666666666666666
1111101100101111,0.9344343631368675,0.4487931618795471,0.4689124573507652,0.0201192954712181,0.75,0.4
1111101100110111,0.933260939029285,0.4481668019770749,0.4682756272425723,0.0201088252654974,0.75,0.4
1111101100111011,0.9323255400168362,0.44766808966156907,0.46776778547795006,0.02009969581638099,0.75,0.4
1111101100111101,0.9316550790261942,0.4473110747891718,0.467403639550762,0.02009256476159016,0.75,0.4
1111101100111110,0.9286200876929552,0.4471151005877052,0.4672035422108246,0.020088441623119402,0.75,0.3333333333333333
